Wall time,Step,Value
1652036175.5433962,4000,-78.4430923461914
1652036290.0204062,8000,-80.59475708007812
1652036405.6340492,12000,-84.89449310302734
1652036521.4749665,16000,-86.96717071533203
1652036635.0207667,20000,-88.22937774658203
1652036750.1012702,24000,-87.89160919189453
1652036868.600087,28000,-87.22351837158203
1652036984.9958234,32000,-86.80818939208984
1652037100.3985653,36000,-86.48239135742188
1652037214.6985164,40000,-86.08241271972656
1652037337.1938367,44000,-85.81938171386719
1652037467.5046415,48000,-85.48648834228516
1652037594.0420496,52000,-85.28019714355469
1652037720.2242196,56000,-85.0867919921875
1652037843.625503,60000,-84.89389038085938
1652037963.1063936,64000,-84.79640197753906
1652038083.05185,68000,-84.59789276123047
1652038202.321219,72000,-84.50594329833984
1652038324.2586212,76000,-84.510986328125
1652038444.897192,80000,-84.4135513305664
1652038565.2802112,84000,-84.34136962890625
1652038683.8425238,88000,-84.73199462890625
1652038803.8933876,92000,-85.10502624511719
1652038973.2879033,96000,-85.46014404296875
1652039217.4425561,100000,-85.75749206542969
1652039401.4638581,104000,-86.3334732055664
1652039515.9125934,108000,-86.74104309082031
1652039630.9689963,112000,-86.71198272705078
1652039746.3245566,116000,-86.71414184570312
1652039866.3208559,120000,-86.72732543945312
1652039984.7481394,124000,-86.99779510498047
1652040100.3842697,128000,-87.3581314086914
1652040232.9722176,132000,-87.70733642578125
1652040361.6846879,136000,-88.06941223144531
1652040483.0095527,140000,-88.49822235107422
1652040607.9572659,144000,-88.89689636230469
1652040730.1821907,148000,-89.346923828125
1652040851.9999042,152000,-89.77185821533203
1652040970.920628,156000,-90.19981384277344
1652041090.1006536,160000,-90.63934326171875
1652041207.9114,164000,-91.0223159790039
1652041325.8016422,168000,-91.50225830078125
1652041445.2156553,172000,-91.911865234375
1652041572.0004735,176000,-92.26465606689453
1652041699.754989,180000,-92.6865463256836
1652041821.9450784,184000,-93.10147094726562
1652041941.4493668,188000,-93.08643341064453
1652042061.5115974,192000,-93.0644760131836
1652042179.6641767,196000,-93.05207824707031
1652042299.1305082,200000,-93.05535125732422
1652042432.4298182,204000,-93.04873657226562
1652042552.9757485,208000,-93.04241943359375
1652042671.69204,212000,-93.08104705810547
1652042793.087035,216000,-93.09037780761719
1652042912.6514866,220000,-93.076171875
1652043026.9567957,224000,-93.07455444335938
1652043147.1383185,228000,-93.11051940917969
1652043268.0436826,232000,-93.12855529785156
1652043381.9939654,236000,-93.14784240722656
1652043496.1909504,240000,-93.13023376464844
1652043613.877333,244000,-93.14313507080078
1652043737.3462281,248000,-93.15702819824219
1652043876.4515932,252000,-93.14319610595703
1652044001.570523,256000,-93.14031219482422
1652044121.6640494,260000,-93.14759063720703
1652044254.8384993,264000,-93.1664047241211
1652044380.7632666,268000,-93.15396118164062
1652044500.0755637,272000,-93.1432113647461
1652044620.9969523,276000,-93.13037872314453
1652044736.8851583,280000,-93.13836669921875
1652044855.2781274,284000,-93.11184692382812
1652044971.9592252,288000,-93.13922882080078
1652045096.5748892,292000,-93.1532974243164
1652045214.2910419,296000,-93.13601684570312
1652045326.8969321,300000,-93.15064239501953
1652045441.7491663,304000,-93.16785430908203
1652045562.0186613,308000,-93.17143249511719
1652045679.0815868,312000,-93.1501235961914
1652045799.3918667,316000,-93.14070129394531
1652045916.5745132,320000,-93.13487243652344
1652046034.0356224,324000,-93.13074493408203
1652046158.972675,328000,-93.12686157226562
1652046277.1830745,332000,-93.13995361328125
1652046394.990672,336000,-93.14421081542969
1652046516.7440073,340000,-93.16511535644531
1652046630.30763,344000,-93.1434097290039
1652046746.4345617,348000,-93.12064361572266
1652046866.2403345,352000,-93.12291717529297
1652046987.4337971,356000,-93.12517547607422
1652047105.1674902,360000,-93.10924530029297
1652047249.2244842,364000,-93.119140625
1652047368.729168,368000,-93.12089538574219
1652047509.2270732,372000,-93.12886047363281
1652047626.1912918,376000,-93.12211608886719
1652047747.5868871,380000,-93.12252807617188
1652047866.2574358,384000,-93.12995910644531
1652047987.8173537,388000,-93.12049102783203
1652048105.9849432,392000,-93.13470458984375
1652048223.0512276,396000,-93.14104461669922
1652048343.0529664,400000,-93.13661193847656
1652048459.434258,404000,-93.14417266845703
1652048572.8850994,408000,-93.13623809814453
1652048687.1493096,412000,-93.12342071533203
1652048803.4851403,416000,-93.1041488647461
1652048920.0189824,420000,-93.09166717529297
1652049037.2298071,424000,-93.0965347290039
1652049155.0941598,428000,-93.09053802490234
1652049273.305178,432000,-93.08882904052734
1652049391.0575523,436000,-93.08050537109375
1652049512.1739914,440000,-93.07026672363281
1652049633.7685194,444000,-93.07623291015625
1652049755.073556,448000,-93.0997085571289
1652049871.0930252,452000,-93.10993957519531
1652049989.1128075,456000,-93.09457397460938
1652050109.340092,460000,-93.09803771972656
1652050227.5373209,464000,-93.08343505859375
1652050353.4408967,468000,-93.07816314697266
1652050475.7244713,472000,-93.07369232177734
1652050595.8392525,476000,-93.08629608154297
1652050713.553336,480000,-93.07504272460938
1652050836.824681,484000,-93.08251953125
1652050951.8280087,488000,-93.09121704101562
1652051067.4267235,492000,-93.077880859375
1652051184.2902935,496000,-93.08858489990234
1652051302.82528,500000,-93.0869369506836
1652051422.913273,504000,-93.07777404785156
1652051539.7462041,508000,-93.099853515625
1652051663.6162388,512000,-93.09405517578125
1652051781.3578908,516000,-93.11338806152344
1652051899.3308296,520000,-93.11759948730469
1652052030.9692974,524000,-93.11726379394531
1652052157.352248,528000,-93.12199401855469
1652052285.1884584,532000,-93.11547088623047
1652052414.7817276,536000,-93.10826110839844
1652052546.0616136,540000,-93.11080932617188
1652052672.2250433,544000,-93.10752868652344
1652052800.836367,548000,-93.09539794921875
1652052932.7694988,552000,-93.10264587402344
1652053066.0453007,556000,-93.11648559570312
1652053199.6503723,560000,-93.12206268310547
1652053325.4700615,564000,-93.12712860107422
1652053447.2951038,568000,-93.111083984375
1652053570.5432105,572000,-93.1263656616211
1652053699.9500842,576000,-93.1350326538086
1652053827.4054317,580000,-93.14297485351562
1652053959.3039975,584000,-93.14278411865234
1652054093.041863,588000,-93.134033203125
1652054222.968449,592000,-93.14104461669922
1652054364.991009,596000,-93.1404800415039
1652054494.331841,600000,-93.13064575195312
1652054624.1709082,604000,-93.13787078857422
1652054752.9954267,608000,-93.11737060546875
1652054881.9578629,612000,-93.12724304199219
1652055010.525782,616000,-93.1202163696289
1652055136.5384452,620000,-93.12088012695312
1652055265.9516938,624000,-93.1285171508789
1652055397.7443235,628000,-93.08842468261719
1652055526.9739594,632000,-93.08633422851562
1652055654.679767,636000,-93.06873321533203
1652055787.4576988,640000,-93.07743072509766
1652056041.4099207,644000,-93.06595611572266
1652056300.393327,648000,-93.06676483154297
1652056547.114614,652000,-93.0405502319336
1652056656.1664696,656000,-93.04557800292969
1652056764.9427612,660000,-93.02674102783203
1652056872.7662919,664000,-93.00747680664062
1652056981.7802296,668000,-93.02123260498047
1652057089.4598026,672000,-92.99462890625
1652057200.14563,676000,-92.9813003540039
1652057309.8666062,680000,-92.98880767822266
1652057419.0601008,684000,-92.97471618652344
1652057527.8386006,688000,-92.97193145751953
1652057639.673486,692000,-92.97691345214844
1652057749.3824372,696000,-92.97161102294922
1652057859.9440565,700000,-92.98674774169922
1652057975.648889,704000,-92.98632049560547
1652058091.467212,708000,-93.00244903564453
1652058202.47278,712000,-93.01280975341797
1652058319.7230272,716000,-93.0396499633789
1652058432.8719177,720000,-93.05220031738281
1652058549.5197153,724000,-93.05459594726562
1652058663.7566695,728000,-93.10015869140625
1652058776.0356717,732000,-93.1102523803711
1652058897.0856884,736000,-93.13036346435547
1652059025.8289306,740000,-93.12779998779297
1652059141.1562245,744000,-93.13723754882812
1652059256.2345657,748000,-93.13477325439453
1652059368.851375,752000,-93.13856506347656
1652059486.8598013,756000,-93.14293670654297
1652059616.7414231,760000,-93.16874694824219
1652059739.1570125,764000,-93.15978240966797
1652059869.6710348,768000,-93.13838958740234
1652060007.8313522,772000,-93.1480484008789
1652060136.6518793,776000,-93.13854217529297
1652060250.2014115,780000,-93.10195922851562
1652060353.30981,784000,-93.12260437011719
1652060463.024404,788000,-93.12210845947266
1652060572.1590383,792000,-93.10307312011719
1652060683.539857,796000,-93.09458923339844
1652060786.2227325,800000,-93.08345794677734
1652060887.4043486,804000,-93.08978271484375
1652060986.5932539,808000,-93.11300659179688
1652061099.823284,812000,-93.09819030761719
1652061201.96784,816000,-93.06603240966797
1652061298.5394235,820000,-93.05532836914062
1652061395.836499,824000,-93.03511810302734
1652061499.1401079,828000,-93.0412826538086
1652061604.6089609,832000,-93.02239990234375
1652061707.4402044,836000,-92.99574279785156
1652061820.852557,840000,-92.98168182373047
1652061931.7738454,844000,-92.99079895019531
1652062043.6657264,848000,-92.98049926757812
1652062168.3277588,852000,-92.99065399169922
